Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
241/19,Single M/L,PORTAL,SC,16-12-2019,,,overdue,,,,,,,,,,
241/21,Single M/L,PORTAL,SC,16-12-2019,,,overdue,,,,,,,,,,
241/23,Single M/L,PORTAL,SC,16-12-2019,,,overdue,,,,,,,,,,
241/25,Single M/L,PORTAL,SC,16-12-2019,,,overdue,,,,,,,,,,
241/07,SDG YARD L-1,TTC,SC,16-12-2019,,31-07-2021,,,,,,,,,,,
241/08,SDG YARD L-1,B-150,SC,,,07-09-2021,,,,,,,,,,,
241/09,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/11,SDG YARD L-1,PORTAL,DC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/13,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/15,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/17,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/19,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/21,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/23,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
241/25,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
242/01,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
242/03,SDG YARD L-1,PORTAL,SC,16-12-2019,,07-09-2021,,,,,,,,,,,
SDG/1001,SDG YARD L-1,B-150,SC,02-08-2019,16-08-2020,05-07-2021,,,,,,,,,,,
241/08,SDG YARD L-3,PORTAL,SC,02-08-2019,,21-08-2021,,,,,,,,,,,
241/10,SDG YARD L-3,PORTAL,SC,02-08-2019,,21-08-2021,,,,,,,,,,,
241/12,SDG YARD L-3,PORTAL,SC,02-08-2019,,21-08-2021,,,,,,,,,,,
